,n,k,pr
0,100,50,4.073258502595351e-09
1,100,49,5.3637416878597486e-09
2,100,48,7.117639182929123e-09
3,100,47,9.520800206029442e-09
4,100,46,1.2827567712773806e-08
5,100,45,1.740865420845143e-08
6,100,44,2.380052168365252e-08
7,100,43,3.276580818192878e-08
8,100,42,4.541779707562536e-08
9,100,41,6.335181749195461e-08
10,100,40,8.889317496463549e-08
11,100,39,1.2547796308207575e-07
12,100,38,1.7822338384101778e-07
13,100,37,2.547373074159866e-07
14,100,36,3.662997951013549e-07
15,100,35,5.299069737172253e-07
16,100,34,7.713585078817221e-07
17,100,33,1.1279899862715066e-06
18,100,32,1.6595641681484383e-06
19,100,31,2.45622281651209e-06
20,100,30,3.6556381448193003e-06
21,100,29,5.470142391095256e-06
22,100,28,8.22399504753169e-06
23,100,27,1.2426563697351984e-05
24,100,26,1.887512639317728e-05
25,100,25,2.877034689961736e-05
26,100,24,4.407483585873544e-05
27,100,23,6.773336587919444e-05
28,100,22,0.00010448046644848352
29,100,21,0.00016175987288743007
30,100,20,0.0002514512391036814
31,100,19,0.00039219008193472777
32,100,18,0.0006136359440479016
33,100,17,0.0009633911217560476
34,100,16,0.0015155636315302503
35,100,15,0.0023904635557512655
36,100,14,0.0037770959967476166
37,100,13,0.005981207468448333
38,100,12,0.009480022487453565
39,100,11,0.015032928259623934
40,100,10,0.023837215215692164
41,100,9,0.03777499699222994
42,100,8,0.059741959352921065
43,100,7,0.09412105498584347
44,100,6,0.14745224220941217
45,100,5,0.2289962262891202
46,100,4,0.3505771368216139
47,100,3,0.5245042259327973
48,100,2,0.7525252525252527
49,100,1,1.0
