,n,k,pr
0,999,20,0.0001335151668432681
1,999,15,0.0017033229931401207
2,999,10,0.020710013127783394
3,999,5,0.22213950756324727
4,999,1,1.0
5,500,20,0.00014241019891462502
6,500,15,0.0017646258861974914
7,500,10,0.02102362637435474
8,500,5,0.22287689780887468
9,500,1,1.0
10,100,20,0.0002514512391036814
11,100,15,0.0023904635557512655
12,100,10,0.023837215215692164
13,100,5,0.2289962262891202
14,100,1,1.0
15,50,20,0.0006105244036044765
16,50,15,0.003714162159510931
17,50,10,0.028317474711112015
18,50,5,0.2372451260800342
19,50,1,1.0
20,20,20,1.0
21,20,15,0.03310485639985784
22,20,10,0.05445841066971098
23,20,5,0.266468868249054
24,20,1,1.0
